               epoch,      train/box_loss,      train/cls_loss,      train/dfl_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/cls_loss,        val/dfl_loss,               x/lr0,               x/lr1,               x/lr2
                  40,              1.7168,              1.2343,              1.2272,             0.50429,              0.3744,             0.38671,              0.2316,                   0,                   0,                   0,            0.006139,            0.006139,            0.006139
                  41,              1.7097,              1.2202,              1.2226,             0.50449,             0.37826,             0.38872,             0.23307,                   0,                   0,                   0,             0.00604,             0.00604,             0.00604
                  42,              1.7074,              1.2122,               1.225,              0.5033,             0.37833,             0.38997,             0.23426,                   0,                   0,                   0,            0.005941,            0.005941,            0.005941
                  43,              1.7055,              1.2113,               1.229,             0.49712,             0.38213,             0.39079,             0.23354,                   0,                   0,                   0,            0.005842,            0.005842,            0.005842
                  44,              1.6988,              1.2035,              1.2246,             0.51148,             0.37609,             0.39279,             0.23672,                   0,                   0,                   0,            0.005743,            0.005743,            0.005743
                  45,              1.7006,              1.2024,              1.2237,             0.50117,              0.3873,             0.39548,             0.23777,                   0,                   0,                   0,            0.005644,            0.005644,            0.005644
                  46,              1.6894,              1.1858,               1.221,             0.51324,             0.38091,             0.39657,             0.23747,                   0,                   0,                   0,            0.005545,            0.005545,            0.005545
                  47,              1.6914,              1.1971,              1.2259,             0.50387,              0.3917,             0.39891,             0.23969,                   0,                   0,                   0,            0.005446,            0.005446,            0.005446
                  48,              1.6826,              1.1866,               1.219,             0.50107,             0.39002,             0.40061,             0.24116,                   0,                   0,                   0,            0.005347,            0.005347,            0.005347
                  49,              1.6716,              1.1723,              1.2137,             0.50436,             0.38863,             0.40168,             0.24134,                   0,                   0,                   0,            0.005248,            0.005248,            0.005248
                  50,               1.669,              1.1703,              1.2181,             0.51025,             0.38789,             0.40144,             0.24242,                   0,                   0,                   0,            0.005149,            0.005149,            0.005149
                  51,              1.6681,              1.1716,              1.2185,             0.51227,             0.38952,             0.40403,             0.24384,                   0,                   0,                   0,             0.00505,             0.00505,             0.00505
                  52,              1.6647,               1.169,               1.215,              0.5224,             0.38914,              0.4048,             0.24488,                   0,                   0,                   0,            0.004951,            0.004951,            0.004951
                  53,              1.6524,               1.158,              1.2134,             0.51411,             0.39103,             0.40415,             0.24454,                   0,                   0,                   0,            0.004852,            0.004852,            0.004852
                  54,              1.6485,              1.1497,              1.2112,             0.51221,             0.39252,             0.40495,             0.24663,                   0,                   0,                   0,            0.004753,            0.004753,            0.004753
                  55,              1.6516,              1.1524,               1.212,             0.52953,             0.39035,             0.40843,             0.24785,                   0,                   0,                   0,            0.004654,            0.004654,            0.004654
                  56,              1.6444,              1.1426,              1.2107,             0.52201,             0.39143,             0.40919,             0.24803,                   0,                   0,                   0,            0.004555,            0.004555,            0.004555
                  57,              1.6429,              1.1351,              1.2058,             0.52525,             0.39844,             0.41157,             0.24945,                   0,                   0,                   0,            0.004456,            0.004456,            0.004456
                  58,              1.6496,              1.1466,              1.2136,             0.52953,             0.39685,             0.41305,             0.25055,                   0,                   0,                   0,            0.004357,            0.004357,            0.004357
                  59,               1.634,              1.1319,              1.2106,              0.5361,             0.39697,               0.413,             0.24957,                   0,                   0,                   0,            0.004258,            0.004258,            0.004258
                  60,              1.6394,              1.1322,              1.2082,             0.51734,             0.40309,               0.414,             0.24995,                   0,                   0,                   0,            0.004159,            0.004159,            0.004159
                  61,              1.6353,              1.1332,              1.2097,             0.53512,             0.39973,             0.41633,             0.25152,                   0,                   0,                   0,             0.00406,             0.00406,             0.00406
                  62,              1.6278,              1.1181,              1.2051,              0.5246,             0.40569,             0.41675,             0.25166,                   0,                   0,                   0,            0.003961,            0.003961,            0.003961
                  63,               1.633,              1.1228,              1.2075,             0.53413,             0.39801,             0.41467,             0.25075,                   0,                   0,                   0,            0.003862,            0.003862,            0.003862
                  64,              1.6353,              1.1229,              1.2017,             0.51824,             0.40653,              0.4157,             0.25216,                   0,                   0,                   0,            0.003763,            0.003763,            0.003763
                  65,              1.6276,               1.115,              1.2012,             0.53257,              0.4003,             0.41861,              0.2531,                   0,                   0,                   0,            0.003664,            0.003664,            0.003664
                  66,               1.625,              1.1156,              1.2014,             0.54053,             0.39869,             0.41974,             0.25417,                   0,                   0,                   0,            0.003565,            0.003565,            0.003565
                  67,              1.6258,              1.1141,               1.202,             0.54163,             0.40068,              0.4177,             0.25323,                   0,                   0,                   0,            0.003466,            0.003466,            0.003466
                  68,              1.6215,              1.1035,              1.2011,             0.54781,              0.4011,             0.42102,             0.25591,                   0,                   0,                   0,            0.003367,            0.003367,            0.003367
